"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-01","0.09",",,a","80","H,,S","84",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-02","0.00",",,a","80","H,,S","87",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-03",,,"80","H,,S","85",",,a","75",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-04",,,"80","H,,S","84",",,a","75",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-05",,,"78","H,,S","82",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-06","1.46",",,a","80","H,,S","85",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-07","0.01",",,a","83","H,,S","92",",,a","78",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-08","0.17",",,a","80","H,,S","87",",,a","78",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-09","0.71",",,a","79","H,,S","84",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-10","0.00",",,a","81","H,,S","86",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-11","0.05",",,a","79","H,,S","85",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-12","0.26",",,a","81","H,,S","85",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-13","0.07",",,a","83","H,,S","89",",,a","78",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-14","0.00",",,a","81","H,,S","88",",,a","78",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-15","0.00",",,a","80","H,,S","89",",,a","72",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-16","0.00",",,a","80","H,,S","88",",,a","72",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-17","0.00",",,a","83","H,,S","90",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-18","0.46",",,a","78","H,,S","83",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-19","0.17",",,a","80","H,,S","87",",,a","75",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-20","0.08",",,a","80","H,,S","88",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-21","0.11",",,a","81","H,,S","88",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-22","0.00",",,a","80","H,,S","87",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-23","0.00",",,a","80","H,,S","87",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-24","0.00",",,a","81","H,,S","88",",,a","72",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-25","0.00",",,a","81","H,,S","88",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-26","0.00",",,a","83","H,,S","89",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-27","0.00",",,a","82","H,,S","89",",,a","78",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-28","0.00",",,a","83","H,,S","91",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-29","0.04",",,a","82","H,,S","91",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-30","0.02",",,a","83","H,,S","90",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-01-31","0.00",",,a","83","H,,S","91",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-01","0.00",",,a","83","H,,S","91",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-02","0.00",",,a","83","H,,S","91",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-03","0.00",",,a","80","H,,S","88",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-04","0.00",",,a","83","H,,S","91",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-05","0.02",",,a","84","H,,S","92",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-06","0.00",",,a","85","H,,S","92",",,a","79",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-07","0.00",",,a","86","H,,S","92",",,a","81",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-08","0.00",",,a","84","H,,S","94",",,a","81",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-09","2.41",",,a","82","H,,S","91",",,a","72",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-10","0.82",",,a","83","H,,S","88",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-11","0.35",",,a",,,"86",",,a","78",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-12","0.54",",,a",,,"84",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-13","0.20",",,a","80","H,,S","87",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-14","0.00",",,a","83","H,,S","88",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-15","0.00",",,a","80","H,,S","89",",,a","80",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-16","0.07",",,a","78","H,,S","83",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-17","0.01",",,a","82","H,,S","88",",,a","73",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-18","0.00",",,a","78","H,,S","84",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-19","0.50",",,a","76","H,,S","78",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-20","1.06",",,a",,,"81",",,a","72",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-21","0.43",",,a","78","H,,S","86",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-22","0.00",",,a","83","H,,S","90",",,a","75",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-23","0.00",",,a","84","H,,S","91",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-24","0.00",",,a","83","H,,S","89",",,a","79",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-25","0.38",",,a","80","H,,S","89",",,a","77",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-26","0.22",",,a","77","H,,S","80",",,a","76",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-27","1.57",",,a","76","H,,S","81",",,a","75",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-02-28","0.43",",,a","74","H,,S","78",",,a","74",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-03-01","3.72",",,a","78","H,,S","82",",,a","71",",,a"
"ASN00032040","TOWNSVILLE AERO, AS","-19.2483","146.7661","4.3","2021-03-02","0.47",",,a","81","H,,S","90",",,a","76",",,a"
